[11-Nov-2024 10:15:35 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 103
[11-Nov-2024 10:16:38 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 77
[11-Nov-2024 10:16:38 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 101
[11-Nov-2024 10:16:38 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 102
[11-Nov-2024 10:16:38 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 103
[11-Nov-2024 10:17:31 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 77
[11-Nov-2024 10:17:31 Europe/Berlin] PHP Notice:  Use of undefined constant formattedAmount - assumed 'formattedAmount' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 99
[11-Nov-2024 10:17:31 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 101
[11-Nov-2024 10:17:31 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 102
[11-Nov-2024 10:17:31 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 103
[11-Nov-2024 10:18:35 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 77
[11-Nov-2024 10:18:35 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 101
[11-Nov-2024 10:18:35 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 102
[11-Nov-2024 10:18:35 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 103
[11-Nov-2024 10:28:49 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 77
[11-Nov-2024 10:28:49 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 101
[11-Nov-2024 10:28:49 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 102
[11-Nov-2024 10:28:49 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 103
[11-Nov-2024 14:50:45 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 77
